# z      t_rms    u_rms
0.612966 0.006244 0.000828
0.615352 0.006250 0.000845
0.617735 0.006256 0.000863
0.620115 0.006263 0.000881
0.622493 0.006269 0.000898
0.624867 0.006275 0.000916
0.627238 0.006282 0.000934
0.629607 0.006288 0.000952
0.631972 0.006295 0.000969
0.634334 0.006302 0.000987
0.636693 0.006309 0.001005
0.639048 0.006316 0.001023
0.641401 0.006324 0.001041
0.643749 0.006331 0.001059
0.646095 0.006338 0.001077
0.648437 0.006346 0.001094
0.650775 0.006354 0.001112
0.653109 0.006361 0.001130
0.655440 0.006369 0.001148
0.657768 0.006377 0.001166
0.660091 0.006385 0.001184
0.662411 0.006394 0.001202
0.664726 0.006402 0.001220
0.667038 0.006410 0.001238
0.669346 0.006419 0.001256
0.671650 0.006428 0.001274
0.673949 0.006436 0.001292
0.676244 0.006445 0.001310
0.678536 0.006454 0.001329
0.680822 0.006463 0.001347
0.683105 0.006472 0.001365
0.685383 0.006482 0.001383
0.687657 0.006491 0.001401
0.689926 0.006500 0.001419
0.692190 0.006510 0.001437
0.694450 0.006519 0.001456
0.696706 0.006529 0.001474
0.698956 0.006539 0.001492
0.701202 0.006549 0.001510
0.703443 0.006559 0.001528
0.705679 0.006569 0.001547
0.707910 0.006579 0.001565
0.710136 0.006589 0.001583
0.712357 0.006600 0.001601
0.714573 0.006610 0.001620
0.716784 0.006621 0.001638
0.718990 0.006631 0.001656
0.721190 0.006642 0.001675
0.723385 0.006652 0.001693
0.725575 0.006663 0.001711
0.727759 0.006674 0.001730
0.729938 0.006685 0.001748
0.732111 0.006696 0.001766
0.734279 0.006707 0.001785
0.736441 0.006718 0.001803
0.738597 0.006729 0.001821
0.740748 0.006740 0.001840
0.742893 0.006752 0.001858
0.745032 0.006763 0.001877
0.747165 0.006774 0.001895
0.749292 0.006786 0.001913
0.751413 0.006797 0.001932
0.753529 0.006809 0.001950
0.755638 0.006820 0.001969
0.757741 0.006832 0.001987
0.759837 0.006843 0.002005
0.761928 0.006855 0.002024
0.764012 0.006867 0.002042
0.766090 0.006878 0.002061
0.768162 0.006890 0.002079
0.770227 0.006902 0.002097
0.772285 0.006913 0.002116
0.774337 0.006925 0.002134
0.776383 0.006937 0.002153
0.778422 0.006948 0.002171
0.780454 0.006960 0.002189
0.782479 0.006972 0.002208
0.784498 0.006984 0.002226
0.786509 0.006995 0.002244
0.788514 0.007007 0.002263
0.790512 0.007018 0.002281
0.792503 0.007030 0.002299
0.794487 0.007041 0.002318
0.796464 0.007053 0.002336
0.798434 0.007064 0.002354
0.800396 0.007076 0.002372
0.802352 0.007087 0.002391
0.804300 0.007098 0.002409
0.806240 0.007109 0.002427
0.808174 0.007120 0.002445
